0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;label
41.0;10.0;41.0;10.0;41.0;10.0;41.0;10.0;40.0;12.0;38.0;15.0;36.0;21.0;34.0;28.0;32.0;37.0;31.0;41.0;30.0;45.0;29.0;48.0;28.0;50.0;28.0;51.0;28.0;51.0;29.0;51.0;30.0;50.0;31.0;49.0;33.0;47.0;36.0;44.0;39.0;42.0;43.0;39.0;44.0;37.0;45.0;35.0;45.0;32.0;45.0;28.0;43.0;27.0;41.0;26.0;39.0;26.0;38.0;27.0;37.0;28.0;36.0;28.0;b
44.0;32.0;45.0;31.0;45.0;31.0;45.0;31.0;45.0;31.0;45.0;30.0;44.0;30.0;44.0;30.0;43.0;29.0;42.0;29.0;41.0;29.0;40.0;30.0;38.0;30.0;37.0;31.0;36.0;32.0;35.0;33.0;34.0;35.0;34.0;36.0;33.0;39.0;33.0;42.0;33.0;44.0;34.0;44.0;34.0;45.0;35.0;45.0;38.0;45.0;41.0;45.0;44.0;45.0;45.0;44.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;c
40.0;35.0;41.0;35.0;42.0;35.0;41.0;32.0;38.0;33.0;35.0;35.0;31.0;39.0;29.0;43.0;30.0;45.0;32.0;47.0;35.0;46.0;39.0;42.0;40.0;40.0;41.0;38.0;43.0;36.0;44.0;33.0;47.0;24.0;48.0;21.0;49.0;17.0;48.0;17.0;47.0;19.0;46.0;21.0;45.0;23.0;45.0;26.0;44.0;29.0;42.0;43.0;42.0;49.0;43.0;51.0;45.0;49.0;47.0;46.0;49.0;43.0;50.0;40.0;d
32.0;37.0;31.0;36.0;32.0;36.0;33.0;36.0;34.0;36.0;36.0;36.0;38.0;35.0;40.0;34.0;41.0;33.0;42.0;32.0;42.0;31.0;42.0;31.0;42.0;30.0;42.0;30.0;41.0;29.0;39.0;29.0;36.0;29.0;33.0;31.0;32.0;32.0;31.0;32.0;30.0;35.0;30.0;37.0;30.0;39.0;29.0;41.0;29.0;43.0;30.0;44.0;31.0;45.0;34.0;46.0;37.0;47.0;39.0;47.0;42.0;47.0;43.0;46.0;e
31.0;30.0;32.0;30.0;35.0;29.0;39.0;25.0;40.0;24.0;42.0;21.0;44.0;19.0;45.0;16.0;46.0;14.0;47.0;5.0;45.0;6.0;44.0;7.0;43.0;9.0;42.0;10.0;40.0;13.0;39.0;15.0;37.0;21.0;35.0;25.0;33.0;34.0;31.0;38.0;27.0;52.0;24.0;55.0;21.0;58.0;23.0;53.0;24.0;51.0;26.0;48.0;27.0;46.0;36.0;33.0;39.0;31.0;41.0;30.0;42.0;30.0;44.0;31.0;f
43.0;26.0;42.0;24.0;39.0;26.0;37.0;27.0;35.0;28.0;34.0;29.0;33.0;30.0;32.0;32.0;32.0;37.0;33.0;38.0;34.0;39.0;35.0;40.0;36.0;40.0;37.0;40.0;40.0;38.0;42.0;36.0;42.0;49.0;40.0;54.0;38.0;63.0;36.0;66.0;35.0;68.0;34.0;69.0;33.0;70.0;32.0;70.0;31.0;68.0;32.0;61.0;33.0;58.0;34.0;56.0;35.0;53.0;37.0;50.0;39.0;47.0;41.0;44.0;g
29.0;44.0;32.0;43.0;34.0;41.0;35.0;40.0;36.0;39.0;37.0;38.0;40.0;35.0;43.0;32.0;44.0;30.0;45.0;28.0;47.0;25.0;48.0;19.0;45.0;21.0;44.0;23.0;43.0;25.0;42.0;27.0;41.0;29.0;39.0;32.0;38.0;35.0;36.0;42.0;35.0;46.0;34.0;49.0;31.0;57.0;32.0;54.0;35.0;50.0;36.0;49.0;38.0;46.0;41.0;45.0;42.0;54.0;43.0;54.0;44.0;54.0;45.0;54.0;h
38.0;29.0;38.0;28.0;37.0;28.0;37.0;30.0;35.0;34.0;34.0;40.0;33.0;43.0;33.0;45.0;33.0;47.0;33.0;50.0;33.0;52.0;35.0;53.0;36.0;53.0;37.0;53.0;38.0;53.0;39.0;53.0;40.0;53.0;42.0;51.0;43.0;14.0;44.0;14.0;44.0;14.0;44.0;14.0;44.0;14.0;44.0;13.0;44.0;13.0;44.0;13.0;44.0;13.0;44.0;13.0;44.0;13.0;44.0;13.0;44.0;13.0;44.0;14.0;i
27.0;36.0;28.0;36.0;29.0;36.0;32.0;34.0;33.0;33.0;36.0;31.0;38.0;29.0;40.0;26.0;36.0;36.0;35.0;40.0;32.0;48.0;31.0;53.0;30.0;57.0;28.0;60.0;28.0;63.0;27.0;64.0;26.0;65.0;25.0;65.0;25.0;63.0;24.0;61.0;25.0;57.0;26.0;54.0;27.0;52.0;28.0;50.0;29.0;48.0;31.0;46.0;33.0;44.0;37.0;40.0;39.0;39.0;42.0;38.0;47.0;38.0;45.0;8.0;j
26.0;42.0;29.0;40.0;30.0;38.0;31.0;36.0;33.0;35.0;34.0;33.0;35.0;31.0;37.0;28.0;40.0;23.0;43.0;18.0;42.0;15.0;40.0;17.0;37.0;23.0;32.0;35.0;30.0;41.0;29.0;43.0;27.0;47.0;26.0;49.0;31.0;43.0;32.0;42.0;33.0;40.0;34.0;39.0;35.0;39.0;35.0;42.0;34.0;42.0;30.0;48.0;31.0;47.0;33.0;47.0;34.0;47.0;36.0;48.0;37.0;50.0;40.0;52.0;k
