0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;label
32.0;25.0;33.0;25.0;33.0;25.0;33.0;26.0;33.0;28.0;34.0;31.0;35.0;34.0;35.0;37.0;36.0;40.0;37.0;47.0;38.0;54.0;38.0;58.0;38.0;59.0;38.0;60.0;38.0;60.0;39.0;60.0;39.0;59.0;40.0;57.0;41.0;55.0;42.0;52.0;45.0;46.0;48.0;40.0;51.0;35.0;54.0;32.0;54.0;31.0;55.0;30.0;56.0;29.0;56.0;29.0;56.0;29.0;56.0;29.0;56.0;29.0;56.0;29.0;V
31.0;23.0;33.0;28.0;33.0;32.0;33.0;38.0;34.0;41.0;34.0;44.0;34.0;48.0;34.0;53.0;34.0;56.0;36.0;50.0;38.0;46.0;38.0;43.0;40.0;38.0;42.0;35.0;43.0;32.0;47.0;25.0;47.0;29.0;46.0;31.0;46.0;38.0;46.0;41.0;45.0;44.0;46.0;50.0;46.0;54.0;47.0;52.0;49.0;47.0;52.0;40.0;54.0;36.0;55.0;33.0;56.0;30.0;58.0;27.0;61.0;21.0;59.0;24.0;W
56.0;25.0;56.0;26.0;55.0;27.0;53.0;29.0;52.0;31.0;50.0;34.0;48.0;37.0;46.0;41.0;43.0;45.0;41.0;48.0;40.0;52.0;38.0;56.0;37.0;58.0;36.0;62.0;36.0;61.0;37.0;60.0;37.0;59.0;53.0;57.0;52.0;57.0;51.0;56.0;49.0;54.0;46.0;49.0;43.0;43.0;41.0;40.0;40.0;37.0;38.0;34.0;37.0;31.0;36.0;28.0;36.0;26.0;36.0;24.0;36.0;23.0;35.0;22.0;X
30.0;26.0;32.0;28.0;34.0;29.0;36.0;31.0;37.0;32.0;38.0;34.0;39.0;36.0;40.0;38.0;41.0;40.0;55.0;23.0;52.0;26.0;50.0;29.0;49.0;31.0;47.0;34.0;46.0;36.0;44.0;39.0;42.0;46.0;41.0;49.0;40.0;52.0;40.0;54.0;39.0;55.0;39.0;57.0;38.0;59.0;37.0;60.0;36.0;63.0;35.0;64.0;34.0;66.0;36.0;66.0;37.0;65.0;38.0;64.0;39.0;63.0;40.0;61.0;Y
34.0;24.0;35.0;24.0;40.0;24.0;44.0;25.0;48.0;26.0;51.0;27.0;52.0;27.0;54.0;28.0;56.0;28.0;53.0;34.0;51.0;36.0;49.0;38.0;46.0;43.0;43.0;45.0;41.0;47.0;39.0;50.0;36.0;52.0;34.0;55.0;30.0;60.0;28.0;62.0;25.0;66.0;34.0;63.0;38.0;63.0;40.0;63.0;42.0;64.0;45.0;64.0;47.0;65.0;49.0;65.0;51.0;66.0;53.0;66.0;55.0;66.0;57.0;66.0;Z
15.0;63.0;15.0;65.0;15.0;64.0;16.0;63.0;17.0;62.0;18.0;61.0;19.0;59.0;21.0;57.0;25.0;52.0;29.0;46.0;33.0;40.0;37.0;32.0;42.0;22.0;43.0;20.0;44.0;22.0;44.0;26.0;44.0;33.0;44.0;38.0;44.0;44.0;44.0;49.0;44.0;54.0;44.0;56.0;45.0;53.0;41.0;44.0;41.0;43.0;38.0;42.0;36.0;43.0;34.0;43.0;32.0;45.0;31.0;46.0;28.0;47.0;27.0;48.0;A
29.0;18.0;30.0;20.0;30.0;27.0;30.0;30.0;30.0;37.0;30.0;42.0;30.0;45.0;30.0;51.0;30.0;54.0;29.0;57.0;30.0;59.0;33.0;60.0;36.0;58.0;38.0;55.0;41.0;51.0;45.0;46.0;48.0;41.0;49.0;40.0;49.0;36.0;48.0;33.0;46.0;31.0;41.0;31.0;35.0;35.0;39.0;32.0;43.0;28.0;45.0;26.0;46.0;21.0;45.0;19.0;42.0;17.0;40.0;18.0;37.0;20.0;33.0;24.0;B
44.0;29.0;45.0;28.0;44.0;27.0;43.0;28.0;41.0;29.0;40.0;30.0;37.0;32.0;35.0;33.0;31.0;37.0;29.0;39.0;28.0;40.0;27.0;42.0;26.0;44.0;25.0;46.0;24.0;48.0;24.0;50.0;23.0;52.0;23.0;54.0;23.0;56.0;23.0;58.0;24.0;59.0;25.0;60.0;27.0;60.0;28.0;60.0;30.0;60.0;33.0;60.0;35.0;59.0;37.0;58.0;40.0;57.0;42.0;55.0;43.0;55.0;44.0;54.0;C
33.0;26.0;34.0;26.0;34.0;32.0;33.0;34.0;33.0;42.0;33.0;45.0;32.0;48.0;32.0;52.0;32.0;57.0;31.0;61.0;32.0;62.0;33.0;63.0;34.0;63.0;38.0;62.0;41.0;60.0;43.0;58.0;45.0;57.0;47.0;55.0;49.0;52.0;52.0;48.0;55.0;43.0;55.0;38.0;56.0;36.0;56.0;33.0;56.0;29.0;55.0;28.0;53.0;25.0;51.0;24.0;48.0;24.0;46.0;25.0;43.0;26.0;41.0;27.0;D
53.0;23.0;51.0;23.0;48.0;24.0;46.0;24.0;44.0;25.0;40.0;26.0;38.0;27.0;36.0;28.0;36.0;33.0;36.0;38.0;36.0;42.0;35.0;45.0;35.0;49.0;35.0;52.0;34.0;55.0;36.0;59.0;37.0;60.0;39.0;59.0;41.0;59.0;46.0;58.0;49.0;57.0;52.0;56.0;51.0;56.0;51.0;38.0;50.0;38.0;48.0;38.0;46.0;39.0;44.0;40.0;41.0;42.0;38.0;43.0;36.0;44.0;35.0;45.0;E
